listing_id,address,area_sqm,rooms,price_cold,population,oev_score,solar_class,elevation_m,lv95_east,lv95_north,egid,gbauj,ganzwhg,garea
1,"8044, Gockhausen-Zürich, Rütistrasse, 1",34,2,850,44,2043.0,2.0,572.9,2687446.25,1248599.0,93458,1971,1,192.0
2,"3904, Naters, Bahnhofstrasse, 8",108,4,1990,107,5656.0,3.0,672.3,2642156.0,1130267.625,892059,1974,34,2000.0
4,"2540, Grenchen, Güterstrasse, 17",97,4,1520,184,12617.0,4.0,439.6,2597233.25,1226600.375,191354719,2017,18,367.0
5,"1030, Bussigny, Rue de Lausanne 52 D, 52D",23,1,1396,129,18439.0,4.0,430.4,2532786.25,1155625.25,794334,1948,50,731.0
6,"2732, Reconvilier, Route De Chaindon, 8",76,3,1400,48,717.0,3.0,743.6,2583429.75,1231621.0,191362735,2018,17,587.0
7,"6004, Luzern",60,2,1660,92,5167.0,2.0,486.9,2665647.25,1212229.25,191631738,2019,4,185.0
12,"Schellerstrasse 17, 8630 Wetzikon",58,2,1530,43,970.0,4.0,524.3,2701910.5,1242039.375,201020615,2007,20,395.0
13,"8047, Zürich, Altweg, 17",46,2,1400,123,16984.0,4.0,431.0,2679532.0,1247224.5,161241,1953,9,200.0
15,"9010, St. Gallen, Guisanstrasse, 68A",60,3,1080,76,2304.0,3.0,742.5,2746303.5,1255896.375,1074301,1972,6,87.0
16,"8307, Effretikon, Brandrietstrasse, 27",108,4,1870,129,7228.0,2.0,509.1,2694236.25,1253427.0,85151,1970,14,267.0
18,"Geissmattstrasse **, 6004 Luzern",46,2,1450,41,5167.0,3.0,437.2,2665415.0,1211822.0,212064,1894,4,199.0
20,"1012, Lausanne, Chemin du Devin, 47C",24,1,1000,122,1691.0,4.0,607.4,2539631.0,1153659.25,881450,1968,26,443.0
21,"Allmendweg 1, 6055 Alpnach Dorf",77,3,2360,56,2604.0,3.0,454.7,2663742.75,1199294.625,190564813,2012,14,275.0
22,"1870, Monthey, Avenue de la Gare, 32",93,3,1550,232,6746.0,4.0,415.4,2562405.5,1122598.125,191193330,2013,64,175.0
24,"6600, Locarno, Via ai Saleggi 24 A, 24A",86,3,1690,74,6971.0,4.0,199.4,2704721.0,1113308.875,190129093,2015,39,661.0
26,"4054, Basel, Oberwilerstr., 159",32,1,830,64,611.0,4.0,281.3,2610310.25,1265989.75,447729,1941,21,366.0
27,"8404, Winterthur, Ida-Sträuli-Strasse, 49",75,2,1808,198,14032.0,1.0,458.0,2700002.5,1262261.0,210207775,2018,13,341.0
29,"8600, Dübendorf, Heugatterstrasse, 31",47,1,1455,108,7882.0,3.0,435.1,2688235.25,1250199.75,91352,1966,12,311.0
30,"8203, Schaffhausen, Buchthalerstrasse, 161",29,1,620,97,1948.0,4.0,451.0,2691353.0,1283753.625,1615173,1965,14,270.0
31,"Maienstrasse **, 8406 Winterthur",88,4,1680,266,16636.0,3.0,440.3,2696299.75,1260931.375,1151899,1986,8,201.0
32,"8200, Schaffhausen, Weinsteig, 8",81,3,1250,90,5824.0,4.0,415.9,2689750.75,1284135.625,1612285,1959,8,227.0
33,"8044, Zürich, Zürichbergstrasse, 66",120,4,1900,26,8245.0,2.0,508.1,2684678.75,1247844.0,154690,1911,4,241.0
34,"Gellertstrasse 9-13a, 4052 Basel",59,2,858,101,8273.0,3.0,270.3,2612745.25,1266942.875,443051,1952,7,313.0
36,"2732, Reconvilier, Route De Chaindon, 8",56,2,1050,48,717.0,3.0,743.6,2583429.75,1231621.0,191362735,2018,17,587.0
38,"8722, Kaltbrunn, Dorfstrasse, 16",81,3,1269,121,2228.0,4.0,442.7,2720225.5,1230408.125,190197164,2010,10,433.0
41,"8048, Zürich",150,5,1200,193,9968.0,2.0,407.5,2678743.75,1248984.875,302024524,1996,7,205.0
43,"8953, Dietikon, Gjuchstrasse, 23",73,4,1620,169,4473.0,2.0,387.6,2672198.5,1251349.0,117665,1951,6,175.0
44,"Wisentalweg **, 9230 Flawil",90,4,1390,24,7201.0,1.0,617.3,2731500.5,1253043.125,2227783,1992,11,260.0
45,"9008, St. Gallen, Kolosseumstrasse, 23",80,3,990,188,13849.0,2.0,655.1,2747357.25,1255933.0,1074966,1918,5,93.0
46,"Gellertstrasse 9-13a, 4052 Basel",126,4,1340,101,8273.0,3.0,270.3,2612745.25,1266942.875,443051,1952,7,313.0
49,"9000, St. Gallen, Stahlstrasse, 1",113,4,1330,75,6423.0,2.0,674.9,2744734.0,1253995.75,1070461,1918,5,154.0
50,"6003, Luzern, Sentimattstrasse, 8",87,3,1690,100,12737.0,1.0,433.7,2665020.5,1211866.0,190456752,2007,11,243.0
51,"4057, Basel, Haltingerstrasse, 59",47,2,1320,370,20108.0,3.0,255.7,2611722.25,1268380.75,457367,1964,7,125.0
52,"4057, Basel, Klingentalstrasse, 69",49,2,960,246,11238.0,3.0,256.7,2611923.0,1268233.25,454369,1987,10,120.0
54,"8051, Zürich, Ueberlandstrasse, 465",61,2,1800,85,27594.0,3.0,428.7,2687169.5,1251162.625,175148,1969,40,370.0
55,"Oberdorfstrasse **, 8810 Horgen, Oberdorfstrasse 60",80,3,1590,125,6208.0,4.0,476.9,2687254.75,1234730.875,55528,1929,6,191.0
68,"3550, Langnau im Emmental, Zürchermatte, 17b",87,3,1500,62,706.0,4.0,663.0,2625591.75,1199197.125,191044210,2015,10,373.0
69,"8952, Schlieren, Badenerstrasse, 76c",60,2,1707,116,31348.0,2.0,390.5,2675372.25,1250064.375,210215711,2019,10,234.0
72,"1020, Renens VD, Avenue de Longemalle, 12",69,3,1720,163,15284.0,4.0,426.3,2535181.25,1153156.0,787892,1960,30,234.0
73,"8051, Zürich, Roswiesenstrasse, 179",65,3,1730,137,5430.0,4.0,426.7,2686282.0,1251383.125,174691,1959,12,217.0
76,"Gellertstrasse 9-13a, 4052 Basel",131,5,1371,101,8273.0,3.0,270.3,2612745.25,1266942.875,443051,1952,7,313.0
