listing_id,status
1,usable
2,usable
3,missing_gbauj
4,usable
5,usable
6,usable
7,usable
8,missing_gbauj
9,missing_solar_class
10,missing_area_sqm
11,missing_gbauj
12,usable
13,usable
14,missing_population
15,usable
16,usable
17,missing_gbauj
18,usable
19,missing_gbauj
20,usable
21,usable
22,usable
23,missing_gbauj
24,usable
25,missing_gbauj
26,usable
27,usable
28,missing_gbauj
29,usable
30,usable
31,usable
32,usable
33,usable
34,usable
35,missing_gbauj
36,usable
37,missing_population
38,usable
39,missing_ganzwhg
40,missing_ganzwhg
41,usable
42,missing_address
43,usable
44,usable
45,usable
46,usable
47,missing_gbauj
48,missing_address
49,usable
50,usable
51,usable
52,usable
53,missing_gbauj
54,usable
55,usable
56,missing_ganzwhg
57,missing_gbauj
58,missing_gbauj
59,missing_population
60,missing_ganzwhg
61,missing_gbauj
62,missing_gbauj
63,missing_gbauj
64,missing_gbauj
65,missing_population
66,missing_gbauj
67,missing_gbauj
68,usable
69,usable
70,missing_gbauj
71,missing_gbauj
72,usable
73,usable
74,missing_ganzwhg
75,missing_population
76,usable
77,usable
78,missing_gbauj
79,missing_gbauj
80,usable
81,missing_gbauj
82,missing_gbauj
83,missing_gbauj
84,usable
85,usable
86,usable
87,usable
88,missing_population
89,usable
90,missing_population
91,usable
92,missing_population
93,missing_gbauj
94,usable
95,usable
96,usable
97,usable
98,usable
99,missing_population
100,missing_gbauj
101,usable
102,usable
103,missing_gbauj
104,missing_solar_class
105,missing_gbauj
106,usable
107,missing_gbauj
108,usable
109,usable
110,usable
111,missing_gbauj
112,usable
113,missing_solar_class
114,missing_population
115,usable
116,usable
117,missing_gbauj
118,missing_address
119,missing_address
120,missing_gbauj
121,missing_gbauj
122,usable
123,missing_population
124,usable
125,missing_gbauj
126,usable
127,usable
128,usable
129,usable
130,usable
131,usable
132,missing_gbauj
133,usable
134,usable
135,usable
136,missing_gbauj
137,usable
138,missing_gbauj
139,usable
140,missing_solar_class
141,usable
142,usable
143,missing_address
144,missing_gbauj
145,usable
146,missing_gbauj
147,usable
148,missing_ganzwhg
149,usable
150,missing_gbauj
151,usable
152,usable
153,missing_gbauj
154,usable
155,usable
156,usable
157,usable
158,usable
159,usable
160,missing_gbauj
161,usable
162,missing_area_sqm
163,usable
164,missing_gbauj
165,missing_gbauj
166,usable
167,missing_gbauj
168,usable
169,missing_ganzwhg
170,usable
171,usable
172,usable
173,usable
174,missing_gbauj
175,usable
176,missing_population
177,missing_solar_class
178,missing_gbauj
179,missing_gbauj
180,missing_population
181,missing_ganzwhg
182,missing_address
183,missing_gbauj
184,usable
185,usable
186,missing_ganzwhg
187,usable
188,missing_ganzwhg
189,missing_gbauj
190,missing_ganzwhg
191,usable
192,usable
193,usable
194,usable
195,missing_gbauj
196,usable
197,usable
198,usable
199,missing_gbauj
200,missing_gbauj
201,missing_gbauj
202,usable
203,usable
204,missing_gbauj
205,missing_gbauj
206,usable
207,usable
208,usable
209,usable
210,missing_gbauj
211,usable
212,usable
213,usable
214,usable
215,missing_gbauj
216,missing_gbauj
217,missing_gbauj
218,missing_gbauj
219,usable
220,usable
221,usable
222,missing_gbauj
223,missing_gbauj
224,usable
225,missing_solar_class
226,missing_population
227,usable
228,missing_gbauj
229,usable
230,missing_gbauj
231,usable
232,missing_gbauj
233,usable
234,usable
235,missing_gbauj
236,usable
237,usable
238,usable
239,usable
240,missing_area_sqm
241,missing_gbauj
242,usable
243,missing_gbauj
244,usable
245,missing_gbauj
246,usable
247,missing_gbauj
248,missing_solar_class
249,missing_gbauj
250,usable
251,usable
252,usable
253,usable
254,missing_ganzwhg
255,missing_gbauj
256,missing_gbauj
257,missing_area_sqm
258,usable
259,usable
260,usable
261,usable
262,missing_gbauj
263,usable
264,usable
265,usable
266,missing_address
267,missing_gbauj
268,usable
269,usable
270,missing_ganzwhg
271,missing_gbauj
272,missing_solar_class
273,missing_ganzwhg
274,usable
275,usable
276,missing_ganzwhg
277,usable
278,usable
279,usable
280,usable
281,missing_gbauj
282,missing_gbauj
283,missing_solar_class
284,usable
285,missing_gbauj
286,usable
287,usable
288,usable
289,usable
290,missing_gbauj
291,usable
292,missing_gbauj
293,usable
294,usable
295,usable
296,usable
297,missing_gbauj
298,usable
299,usable
300,usable
301,missing_address
302,usable
303,missing_gbauj
304,missing_gbauj
305,usable
306,missing_population
307,usable
308,missing_gbauj
309,missing_gbauj
310,usable
311,missing_solar_class
312,usable
313,missing_ganzwhg
314,usable
315,usable
316,usable
317,usable
318,usable
319,missing_gbauj
320,missing_gbauj
321,usable
322,missing_population
323,usable
324,missing_gbauj
325,missing_area_sqm
326,usable
327,usable
328,missing_gbauj
329,usable
330,missing_gbauj
331,missing_solar_class
332,usable
333,missing_gbauj
334,missing_gbauj
335,missing_gbauj
336,usable
337,missing_gbauj
338,missing_solar_class
339,usable
340,usable
341,usable
342,usable
343,usable
344,usable
345,usable
346,usable
347,usable
348,missing_ganzwhg
349,missing_gbauj
350,usable
351,missing_gbauj
352,missing_gbauj
353,usable
354,missing_gbauj
355,missing_address
356,usable
357,usable
358,usable
359,usable
360,usable
361,missing_gbauj
362,usable
363,missing_gbauj
364,missing_gbauj
365,usable
366,missing_gbauj
367,missing_gbauj
368,missing_population
369,missing_population
370,missing_gbauj
371,missing_ganzwhg
372,usable
373,usable
374,missing_gbauj
375,usable
376,missing_gbauj
377,usable
378,missing_solar_class
379,missing_gbauj
380,usable
381,missing_gbauj
382,usable
383,usable
384,usable
385,missing_gbauj
386,usable
387,usable
388,missing_gbauj
389,missing_gbauj
390,usable
391,usable
392,missing_gbauj
