area_sqm,rooms,price_cold,population,oev_score,solar_class,elevation_m,lv95_east,lv95_north,gbauj,ganzwhg,garea
34,2,850,44,2043.0,2.0,572.9,2687446.25,1248599.0,1971,1,192.0
108,4,1990,107,5656.0,3.0,672.3,2642156.0,1130267.625,1974,34,2000.0
97,4,1520,184,12617.0,4.0,439.6,2597233.25,1226600.375,2017,18,367.0
23,1,1396,129,18439.0,4.0,430.4,2532786.25,1155625.25,1948,50,731.0
76,3,1400,48,717.0,3.0,743.6,2583429.75,1231621.0,2018,17,587.0
60,2,1660,92,5167.0,2.0,486.9,2665647.25,1212229.25,2019,4,185.0
58,2,1530,43,970.0,4.0,524.3,2701910.5,1242039.375,2007,20,395.0
46,2,1400,123,16984.0,4.0,431.0,2679532.0,1247224.5,1953,9,200.0
60,3,1080,76,2304.0,3.0,742.5,2746303.5,1255896.375,1972,6,87.0
108,4,1870,129,7228.0,2.0,509.1,2694236.25,1253427.0,1970,14,267.0
46,2,1450,41,5167.0,3.0,437.2,2665415.0,1211822.0,1894,4,199.0
24,1,1000,122,1691.0,4.0,607.4,2539631.0,1153659.25,1968,26,443.0
77,3,2360,56,2604.0,3.0,454.7,2663742.75,1199294.625,2012,14,275.0
93,3,1550,232,6746.0,4.0,415.4,2562405.5,1122598.125,2013,64,175.0
86,3,1690,74,6971.0,4.0,199.4,2704721.0,1113308.875,2015,39,661.0
32,1,830,64,611.0,4.0,281.3,2610310.25,1265989.75,1941,21,366.0
75,2,1808,198,14032.0,1.0,458.0,2700002.5,1262261.0,2018,13,341.0
47,1,1455,108,7882.0,3.0,435.1,2688235.25,1250199.75,1966,12,311.0
29,1,620,97,1948.0,4.0,451.0,2691353.0,1283753.625,1965,14,270.0
88,4,1680,266,16636.0,3.0,440.3,2696299.75,1260931.375,1986,8,201.0
81,3,1250,90,5824.0,4.0,415.9,2689750.75,1284135.625,1959,8,227.0
120,4,1900,26,8245.0,2.0,508.1,2684678.75,1247844.0,1911,4,241.0
59,2,858,101,8273.0,3.0,270.3,2612745.25,1266942.875,1952,7,313.0
56,2,1050,48,717.0,3.0,743.6,2583429.75,1231621.0,2018,17,587.0
81,3,1269,121,2228.0,4.0,442.7,2720225.5,1230408.125,2010,10,433.0
150,5,1200,193,9968.0,2.0,407.5,2678743.75,1248984.875,1996,7,205.0
73,4,1620,169,4473.0,2.0,387.6,2672198.5,1251349.0,1951,6,175.0
90,4,1390,24,7201.0,1.0,617.3,2731500.5,1253043.125,1992,11,260.0
80,3,990,188,13849.0,2.0,655.1,2747357.25,1255933.0,1918,5,93.0
126,4,1340,101,8273.0,3.0,270.3,2612745.25,1266942.875,1952,7,313.0
113,4,1330,75,6423.0,2.0,674.9,2744734.0,1253995.75,1918,5,154.0
87,3,1690,100,12737.0,1.0,433.7,2665020.5,1211866.0,2007,11,243.0
47,2,1320,370,20108.0,3.0,255.7,2611722.25,1268380.75,1964,7,125.0
49,2,960,246,11238.0,3.0,256.7,2611923.0,1268233.25,1987,10,120.0
61,2,1800,85,27594.0,3.0,428.7,2687169.5,1251162.625,1969,40,370.0
80,3,1590,125,6208.0,4.0,476.9,2687254.75,1234730.875,1929,6,191.0
87,3,1500,62,706.0,4.0,663.0,2625591.75,1199197.125,2015,10,373.0
60,2,1707,116,31348.0,2.0,390.5,2675372.25,1250064.375,2019,10,234.0
69,3,1720,163,15284.0,4.0,426.3,2535181.25,1153156.0,1960,30,234.0
65,3,1730,137,5430.0,4.0,426.7,2686282.0,1251383.125,1959,12,217.0
131,5,1371,101,8273.0,3.0,270.3,2612745.25,1266942.875,1952,7,313.0
80,3,1158,230,31348.0,4.0,392.8,2675573.0,1250031.0,1951,12,1244.0
45,2,1100,103,5612.0,4.0,287.6,2612656.5,1263783.125,1961,8,175.0
35,1,1390,163,16040.0,3.0,419.5,2680284.5,1247428.125,1956,16,270.0
48,2,670,90,2011.0,2.0,413.3,2695819.25,1233879.25,1959,7,182.0
75,3,1715,100,3357.0,4.0,591.9,2686907.0,1245746.375,1951,9,244.0
72,2,1442,102,13502.0,3.0,433.2,2674582.25,1248410.75,1965,8,211.0
76,3,1330,110,2982.0,3.0,677.1,2748312.25,1256343.25,1968,9,263.0
68,4,1450,70,3179.0,3.0,394.0,2655742.25,1249027.625,1968,30,270.0
30,1,1060,212,14402.0,3.0,256.4,2611881.5,1268100.875,1968,41,361.0
56,3,1100,81,11549.0,1.0,416.1,2682987.25,1263607.125,1720,3,182.0
55,2,1040,97,3173.0,4.0,435.9,2690816.5,1285674.875,1955,7,150.0
40,2,1100,115,3304.0,3.0,549.1,2597811.5,1199762.875,2012,95,1273.0
43,2,1250,279,55264.0,3.0,439.1,2666051.25,1210912.875,1970,34,202.0
95,3,1610,89,1556.0,4.0,434.5,2627014.0,1241069.0,1999,6,385.0
100,4,1850,112,8832.0,3.0,674.4,2641570.5,1129109.75,2013,15,577.0
52,2,1000,31,1341.0,1.0,681.2,2738750.25,1253061.125,1984,2,141.0
95,4,1850,41,27489.0,2.0,431.5,2682562.75,1244113.625,1992,2,803.0
76,4,1735,73,2997.0,2.0,396.2,2712989.0,1270752.375,1978,14,582.0
43,2,995,200,6423.0,3.0,662.0,2744540.5,1253971.125,1918,11,141.0
54,2,879,87,13042.0,1.0,655.9,2746823.25,1254909.0,1950,24,235.0
58,3,1300,173,7517.0,3.0,255.9,2613688.5,1265963.125,1954,9,160.0
50,2,1520,59,693.0,2.0,553.4,2706240.25,1254679.0,1870,4,126.0
63,2,1700,84,563.0,3.0,463.7,2675021.75,1209639.625,1973,15,319.0
26,1,690,131,17192.0,3.0,436.0,2585859.0,1220145.375,1963,25,360.0
47,2,1640,123,6000.0,2.0,612.6,2541681.75,1152232.0,1969,10,209.0
20,1,850,165,30168.0,5.0,440.7,2682765.0,1249508.0,1925,9,230.0
49,1,1050,97,2969.0,3.0,436.1,2690128.0,1284467.0,2017,10,211.0
100,3,1720,64,388.0,2.0,474.1,2612413.75,1220143.75,2016,6,276.0
24,1,1000,122,1691.0,4.0,607.4,2539631.0,1153659.25,1968,26,443.0
99,4,1610,140,2299.0,1.0,656.0,2738138.5,1253625.125,2003,10,262.0
1,2,860,95,12866.0,1.0,671.2,2746200.0,1254470.125,1918,9,1117.0
65,2,1020,104,16327.0,4.0,531.6,2603309.0,1202717.375,1988,18,336.0
57,2,1680,87,38168.0,3.0,434.5,2665273.25,1211599.125,1952,18,268.0
105,3,3152,3,159.0,1.0,593.4,2516989.5,1148449.625,1960,1,86.0
140,5,4330,190,16237.0,3.0,409.9,2498810.25,1117912.875,1919,7,408.0
52,2,1434,61,1826.0,2.0,479.7,2697116.5,1244335.625,1961,9,249.0
81,3,1400,134,15264.0,2.0,456.0,2689826.5,1255178.0,1997,7,216.0
