iter	RMSE
0	717.3138251
1	699.7943223
2	686.3637036
3	673.9870666
4	661.5789503
5	648.9263496
6	636.4558313
7	627.0644175
8	615.6352429
9	606.3728305
10	596.011094
11	588.7367272
12	579.6945894
13	572.2393145
14	565.7297041
15	559.9411612
16	553.7259682
17	548.4059207
18	540.9094791
19	535.6768044
20	530.7547745
21	525.5546015
22	522.0841586
23	516.4417663
24	512.5784842
25	507.3766534
26	502.4918668
27	499.6345958
28	496.2300969
29	492.2933653
30	488.5104183
31	485.3245457
32	482.8853141
33	479.5212997
34	477.2714898
35	474.1308381
36	471.4936415
37	468.2465532
38	465.6148618
39	462.5614797
40	460.6031208
41	457.963054
42	456.0642317
43	453.9201812
44	451.6005574
45	449.7528782
46	447.6945771
47	446.5938193
48	445.3112004
49	444.3467535
50	443.0136739
51	441.631632
52	440.1224496
53	438.7187462
54	436.6209913
55	435.6614333
56	434.6704482
57	434.3755213
58	432.233572
59	431.2869962
60	430.3481307
61	429.4385109
62	427.9615544
63	426.7484775
64	425.8629815
65	425.0930839
66	424.1070297
67	422.8928308
68	421.8617655
69	420.1633022
70	419.6080251
71	418.8326023
72	417.9301275
73	416.9933285
74	416.1635469
75	415.0259086
76	414.1795937
77	413.3505598
78	412.6932584
79	412.0588106
80	411.6122544
81	410.2773005
82	408.8585772
83	408.2165026
84	407.7207434
85	407.1532672
86	406.834398
87	406.468212
88	405.8545274
89	405.524849
90	404.9258243
91	404.3336297
92	403.7803903
93	403.0529441
94	402.5550499
95	401.808088
96	401.0320499
97	400.5879285
98	399.835023
99	399.1936226
100	398.5032676
101	397.7313274
102	397.4362739
103	396.7372712
104	396.105451
105	395.7108043
106	394.8401876
107	394.3488122
108	393.844394
109	393.2430028
110	392.8064067
111	392.4860527
112	392.1877473
113	391.9688992
114	391.6107952
115	390.9991446
116	390.7212101
117	390.2394802
118	389.8176435
119	389.36303
120	389.0885467
121	388.6885618
122	388.1617589
123	387.5559194
124	387.0444143
125	386.7677226
126	386.3821633
127	386.0637283
128	386.0421691
129	385.3687244
130	385.2358585
131	384.9229828
132	384.5866559
133	384.3193345
134	383.884425
135	383.4441012
136	383.2245528
137	382.692802
138	382.3397442
139	381.8653177
140	381.4553645
141	381.3673835
142	381.0894727
143	380.6621089
144	380.4803169
145	379.8530597
146	379.5389408
